iter	Passed	Remaining
0	62	62016
1	62	31094
2	62	20783
3	62	15628
4	63	12549
5	63	10484
6	63	9011
7	63	7902
8	63	7046
9	64	6358
10	64	5793
11	64	5323
12	64	4924
13	65	4583
14	65	4286
15	65	4027
16	65	3799
17	65	3595
18	66	3413
19	66	3250
20	66	3102
21	66	2967
22	66	2844
23	67	2731
24	67	2628
25	67	2532
26	67	2443
27	68	2361
28	68	2283
29	68	2212
30	68	2145
31	68	2082
32	69	2023
33	69	1967
34	69	1915
35	69	1865
36	69	1818
37	70	1774
38	70	1732
39	70	1692
40	70	1653
41	70	1617
42	71	1582
43	71	1549
44	71	1517
45	71	1487
46	71	1458
47	72	1430
48	72	1403
49	72	1378
50	72	1353
51	72	1329
52	73	1306
53	73	1284
54	73	1263
55	73	1243
56	73	1223
57	74	1204
58	74	1185
59	74	1167
60	74	1150
61	74	1134
62	75	1117
63	75	1101
64	75	1086
65	75	1071
66	75	1057
67	76	1042
68	76	1028
69	76	1015
70	76	1002
71	76	990
72	77	978
73	77	966
74	77	955
75	77	944
76	77	933
77	78	923
78	78	912
79	78	902
80	78	892
81	78	882
82	79	873
83	79	864
84	79	854
85	79	845
86	79	835
87	79	827
88	80	819
89	80	811
90	80	803
91	80	795
92	80	787
93	80	780
94	81	773
95	81	766
96	81	759
97	81	752
98	81	746
99	82	739
100	82	733
101	82	725
102	82	719
103	82	713
104	83	708
105	83	702
106	83	696
107	83	691
108	83	685
109	84	680
110	84	674
111	84	669
112	84	664
113	84	659
114	85	654
115	85	649
116	85	644
117	85	639
118	85	634
119	85	630
120	86	625
121	86	621
122	86	615
123	86	611
124	86	607
125	86	603
126	87	598
127	87	594
128	87	590
129	87	586
130	87	582
131	88	578
132	88	575
133	88	571
134	88	567
135	88	564
136	89	560
137	89	556
138	89	553
139	89	549
140	89	546
141	89	543
142	90	539
143	90	536
144	90	533
145	90	530
146	90	527
147	91	525
148	91	521
149	91	518
150	91	516
151	91	513
152	92	510
153	92	507
154	92	504
155	92	501
156	92	499
157	93	496
158	93	493
159	93	490
160	93	488
161	93	485
162	94	483
163	94	480
164	94	478
165	94	475
166	94	473
167	95	471
168	95	468
169	95	466
170	95	464
171	95	461
172	96	459
173	96	457
174	96	454
175	96	452
176	96	450
177	97	448
178	97	446
179	97	444
180	97	441
181	97	439
182	97	437
183	98	435
184	98	433
185	98	431
186	98	429
187	98	427
188	99	425
189	99	423
190	99	421
191	99	419
192	99	417
193	100	415
194	100	413
195	100	411
196	100	410
197	100	408
198	100	406
199	101	404
200	101	402
201	101	401
202	101	399
203	101	397
204	102	396
205	102	394
206	102	392
207	102	391
208	102	389
209	103	387
210	103	386
211	103	384
212	103	383
213	103	381
214	104	380
215	104	378
216	104	377
217	104	375
218	104	374
219	105	372
220	105	371
221	105	369
222	105	368
223	105	366
224	106	365
225	106	364
226	106	362
227	106	361
228	106	359
229	107	358
230	107	356
231	107	355
232	107	354
233	107	353
234	108	351
235	108	350
236	108	349
237	108	347
238	108	346
239	109	345
240	109	343
241	109	342
